title;metacritic;date
financial style model;18;1970.0
ready market cell;85;1971.0
despite stuff change;86;1972.0
rather cover still;68;1973.0
method price information;44;1974.0
stock scene about;51;1975.0
thank area possible;56;1976.0
model box garden;83;1978.0
of receive window;55;1981.0
example fish finish;98;1982.0
impact finally authority;58;1983.0
brother hotel mention;10;1984.0
price shake billion;70;1985.0
measure employee become;91;1986.0
fill fight time;53;1987.0
measure certain player;30;1988.0
drug treatment sister;44;1989.0
student while ever;95;1990.0
let friend only;68;1991.0
someone nearly middle;99;1992.0
despite you election;19;1993.0
number stuff another;88;1994.0
activity open southern;93;1995.0
deep model simply;95;1996.0
evidence be several;80;1998.0
behind study author;93;1999.0
base claim brother;99;2000.0
one season there;54;2001.0
national place left;90;2002.0
down full camera;91;2003.0
mother list to;100;2004.0
popular article wish;70;2005.0
expert fish fine;90;2006.0
with spring program;73;2007.0
career available bar;85;2008.0
fear affect drop;95;2009.0
daughter energy item;41;2010.0
other believe western;59;2012.0
read here partner;78;2013.0
fill father hand;20;2014.0
money magazine stuff;61;2015.0
eight theory a;10;2017.0
rock later edge;92;2018.0
chance sign available;58;2020.0
it anything Mrs;44;2021.0
